Subject,Run,Gain,Loss,Choice,RT
1,1,10,6,0.0,1.137
1,1,10,7,1.0,1.32
1,1,10,11,0.0,1.806
1,1,10,12,0.0,1.383
1,1,10,15,0.0,1.6369999999999998
1,1,12,6,1.0,1.433
1,1,12,14,0.0,1.6
1,1,12,15,0.0,1.082
1,1,12,17,0.0,1.368
1,1,14,6,1.0,1.9040000000000001
1,1,14,12,0.0,1.585
1,1,14,14,0.0,1.6869999999999998
1,1,14,17,0.0,1.8219999999999998
1,1,14,20,0.0,1.206
1,1,16,5,1.0,1.925
1,1,16,10,1.0,1.4769999999999999
1,1,16,12,1.0,1.486
1,1,16,13,1.0,1.115
1,1,16,18,0.0,1.785
1,1,16,20,0.0,1.047
1,1,18,5,1.0,1.67
1,1,18,7,1.0,1.071
1,1,18,8,1.0,1.526
1,1,18,12,1.0,1.7930000000000001
1,1,18,14,1.0,2.2
1,1,18,17,0.0,1.321
1,1,18,20,0.0,2.302
1,1,20,6,1.0,1.433
1,1,20,12,1.0,1.249
1,1,20,15,,
1,1,20,16,1.0,1.367
1,1,20,18,0.0,1.215
1,1,22,7,1.0,1.061
1,1,22,9,1.0,1.39
1,1,22,20,0.0,1.598
1,1,24,7,1.0,1.172
1,1,24,9,1.0,0.8340000000000001
1,1,24,12,1.0,1.242
1,1,24,13,1.0,1.6
1,1,24,14,1.0,1.266
1,1,24,18,1.0,1.145
1,1,26,5,1.0,1.5659999999999998
1,1,26,9,1.0,1.3940000000000001
1,1,26,13,1.0,1.232
1,1,26,16,1.0,1.272
1,1,26,18,1.0,1.454
1,1,28,7,1.0,1.067
1,1,28,12,1.0,1.318
1,1,28,13,1.0,1.107
1,1,28,19,1.0,1.405
1,1,30,6,1.0,0.877
1,1,30,13,1.0,1.599
1,1,30,16,1.0,1.6269999999999998
1,1,30,19,1.0,1.167
1,1,32,5,1.0,0.9179999999999999
1,1,32,6,1.0,0.9990000000000001
1,1,32,9,1.0,0.866
1,1,32,10,1.0,1.3619999999999999
1,1,32,11,1.0,1.235
1,1,32,16,1.0,2.28
1,1,32,17,1.0,1.5019999999999998
1,1,32,19,1.0,1.3359999999999999
1,1,32,20,1.0,1.36
1,1,34,9,1.0,0.7340000000000001
1,1,34,10,1.0,1.0
1,1,34,13,1.0,1.2429999999999999
1,1,34,16,1.0,1.3159999999999998
1,1,34,17,1.0,1.0959999999999999
1,1,34,19,1.0,1.237
1,1,34,20,1.0,1.251
1,1,36,6,1.0,0.903
1,1,36,8,1.0,1.079
1,1,36,12,1.0,1.28
1,1,36,17,1.0,1.786
1,1,36,19,1.0,1.75
1,1,38,5,1.0,0.805
1,1,38,7,1.0,0.9570000000000001
1,1,38,10,1.0,1.043
1,1,38,12,1.0,1.011
1,1,38,14,1.0,1.112
1,1,40,5,1.0,0.9
1,1,40,7,1.0,0.8240000000000001
1,1,40,10,1.0,0.7829999999999999
1,1,40,13,1.0,0.7759999999999999
1,1,40,15,1.0,1.169
1,1,40,19,1.0,0.862
1,2,10,9,1.0,2.91
1,2,10,14,0.0,1.121
1,2,10,16,0.0,1.265
1,2,10,17,0.0,1.088
1,2,10,18,0.0,1.023
1,2,12,5,1.0,0.917
1,2,12,7,1.0,1.122
1,2,12,10,1.0,1.702
1,2,12,12,0.0,1.7269999999999999
1,2,12,13,0.0,1.621
1,2,12,18,0.0,1.222
1,2,12,20,0.0,1.25
1,2,14,8,1.0,0.932
1,2,14,9,1.0,1.031
1,2,14,13,0.0,0.998
1,2,14,15,0.0,1.536
1,2,16,6,1.0,1.161
1,2,16,7,1.0,1.063
1,2,16,8,1.0,1.328
1,2,16,9,1.0,0.982
1,2,16,14,1.0,1.9809999999999999
1,2,16,17,0.0,2.204
1,2,18,9,1.0,1.229
1,2,18,10,1.0,1.369
1,2,20,5,1.0,1.29
1,2,20,7,1.0,1.439
1,2,20,9,1.0,1.403
1,2,20,10,1.0,1.214
1,2,20,13,1.0,1.229
1,2,20,14,1.0,1.446
1,2,20,19,1.0,0.887
1,2,22,6,1.0,1.849
1,2,22,13,1.0,1.008
1,2,22,15,1.0,1.3319999999999999
1,2,22,17,1.0,1.163
1,2,22,18,1.0,1.5919999999999999
1,2,22,19,1.0,1.915
1,2,24,5,1.0,1.073
1,2,24,8,1.0,1.189
1,2,24,11,1.0,1.255
1,2,24,15,1.0,1.138
1,2,24,16,1.0,0.914
1,2,24,17,1.0,0.782
1,2,24,20,1.0,1.258
1,2,26,6,1.0,1.169
1,2,26,8,1.0,1.084
1,2,26,12,1.0,1.041
1,2,26,19,1.0,1.128
1,2,26,20,1.0,1.39
1,2,28,6,1.0,0.863
1,2,28,8,1.0,2.935
1,2,28,10,1.0,1.744
1,2,28,11,1.0,0.7979999999999999
1,2,28,14,1.0,0.986
1,2,28,15,1.0,1.183
1,2,28,16,1.0,0.9259999999999999
1,2,30,5,1.0,0.826
1,2,30,9,1.0,0.745
1,2,30,12,1.0,1.0190000000000001
1,2,30,15,1.0,1.1340000000000001
1,2,30,17,1.0,1.239
1,2,30,18,1.0,2.101
1,2,32,7,1.0,1.3030000000000002
1,2,32,15,1.0,1.974
1,2,32,18,1.0,1.189
1,2,34,6,1.0,1.794
1,2,34,12,1.0,1.775
1,2,34,18,1.0,1.196
1,2,36,7,1.0,0.835
1,2,36,9,1.0,0.8340000000000001
1,2,36,13,1.0,1.496
1,2,36,14,1.0,1.102
1,2,36,15,1.0,2.408
1,2,36,16,1.0,1.744
1,2,36,18,1.0,1.8980000000000001
1,2,36,20,1.0,1.101
1,2,38,8,1.0,0.878
1,2,38,9,1.0,0.8059999999999999
1,2,38,18,1.0,1.4880000000000002
1,2,38,20,1.0,1.463
1,2,40,6,1.0,1.2209999999999999
1,2,40,8,1.0,0.7809999999999999
1,2,40,9,1.0,0.6970000000000001
1,2,40,11,1.0,1.088
1,2,40,16,1.0,0.777
1,3,10,5,1.0,1.445
1,3,10,8,1.0,1.271
1,3,10,10,1.0,1.581
1,3,10,13,0.0,1.403
1,3,10,19,0.0,0.836
1,3,10,20,0.0,1.077
1,3,12,8,1.0,0.887
1,3,12,9,1.0,1.15
1,3,12,11,1.0,1.858
1,3,12,16,0.0,0.971
1,3,12,19,0.0,1.176
1,3,14,5,1.0,1.695
1,3,14,7,1.0,1.123
1,3,14,10,1.0,1.202
1,3,14,11,1.0,1.247
1,3,14,16,0.0,1.9069999999999998
1,3,14,18,0.0,1.391
1,3,14,19,0.0,0.9690000000000001
1,3,16,11,1.0,1.102
1,3,16,15,1.0,1.51
1,3,16,16,1.0,2.441
1,3,16,19,0.0,1.767
1,3,18,6,1.0,1.2790000000000001
1,3,18,11,1.0,1.176
1,3,18,13,1.0,0.8340000000000001
1,3,18,15,1.0,1.551
1,3,18,16,1.0,1.261
1,3,18,18,1.0,2.222
1,3,18,19,0.0,1.286
1,3,20,8,1.0,2.2230000000000003
1,3,20,11,1.0,0.8490000000000001
1,3,20,17,1.0,1.161
1,3,20,20,1.0,1.67
1,3,22,5,1.0,0.914
1,3,22,8,1.0,1.7369999999999999
1,3,22,10,1.0,1.5519999999999998
1,3,22,11,1.0,1.11
1,3,22,12,1.0,0.966
1,3,22,14,1.0,1.008
1,3,22,16,1.0,1.136
1,3,24,6,1.0,1.133
1,3,24,10,1.0,1.024
1,3,24,19,1.0,0.888
1,3,26,7,1.0,2.516
1,3,26,10,1.0,0.757
1,3,26,11,1.0,0.9179999999999999
1,3,26,14,1.0,0.9440000000000001
1,3,26,15,1.0,1.068
1,3,26,17,1.0,1.254
1,3,28,5,1.0,0.855
1,3,28,9,1.0,2.383
1,3,28,17,1.0,1.203
1,3,28,18,1.0,0.9690000000000001
1,3,28,20,1.0,0.956
1,3,30,7,1.0,1.3519999999999999
1,3,30,8,1.0,0.9690000000000001
1,3,30,10,1.0,1.936
1,3,30,11,1.0,1.546
1,3,30,14,1.0,1.97
1,3,30,20,1.0,1.328
1,3,32,8,1.0,0.825
1,3,32,12,1.0,1.545
1,3,32,13,1.0,2.403
1,3,32,14,1.0,1.4169999999999998
1,3,34,5,1.0,0.866
1,3,34,7,1.0,1.051
1,3,34,8,1.0,0.888
1,3,34,11,1.0,1.52
1,3,34,14,1.0,2.204
1,3,34,15,1.0,2.406
1,3,36,5,1.0,1.11
1,3,36,10,1.0,2.157
1,3,36,11,1.0,1.564
1,3,38,6,1.0,1.063
1,3,38,11,1.0,1.35
1,3,38,13,1.0,0.87
1,3,38,15,1.0,1.963
1,3,38,16,1.0,2.4530000000000003
1,3,38,17,1.0,1.811
1,3,38,19,1.0,2.488
1,3,40,12,1.0,1.046
1,3,40,14,1.0,1.651
1,3,40,17,1.0,1.963
1,3,40,18,1.0,1.6780000000000002
1,3,40,20,1.0,0.9690000000000001
2,1,10,6,0.0,0.001
2,1,10,7,0.0,2.2230000000000003
2,1,10,11,0.0,1.141
2,1,10,12,0.0,1.28
2,1,10,15,0.0,1.462
2,1,12,6,0.0,2.457
2,1,12,14,0.0,0.885
2,1,12,15,0.0,1.297
2,1,12,17,0.0,1.385
2,1,14,6,0.0,2.839
2,1,14,12,0.0,1.258
2,1,14,14,0.0,1.585
2,1,14,17,0.0,1.263
2,1,14,20,0.0,1.327
2,1,16,5,1.0,1.5519999999999998
2,1,16,10,0.0,1.885
2,1,16,12,0.0,1.318
2,1,16,13,0.0,1.692
2,1,16,18,0.0,1.105
2,1,16,20,0.0,1.4569999999999999
2,1,18,5,1.0,2.582
2,1,18,7,1.0,2.416
2,1,18,8,0.0,2.963
2,1,18,12,0.0,1.358
2,1,18,14,0.0,2.346
2,1,18,17,0.0,1.24
2,1,18,20,0.0,1.585
2,1,20,6,1.0,2.8310000000000004
2,1,20,12,0.0,2.266
2,1,20,15,0.0,2.419
2,1,20,16,0.0,1.48
2,1,20,18,0.0,1.5530000000000002
2,1,22,7,1.0,1.6119999999999999
2,1,22,9,1.0,1.358
2,1,22,20,0.0,1.168
2,1,24,7,1.0,2.861
2,1,24,9,1.0,2.705
2,1,24,12,0.0,1.3719999999999999
2,1,24,13,0.0,1.79
2,1,24,14,0.0,2.0980000000000003
2,1,24,18,0.0,2.8810000000000002
2,1,26,5,1.0,2.448
2,1,26,9,1.0,2.351
2,1,26,13,0.0,2.823
2,1,26,16,0.0,1.4480000000000002
2,1,26,18,0.0,2.431
2,1,28,7,1.0,2.23
2,1,28,12,0.0,2.3680000000000003
2,1,28,13,0.0,2.147
2,1,28,19,0.0,2.701
2,1,30,6,1.0,2.319
2,1,30,13,0.0,2.885
2,1,30,16,0.0,2.123
2,1,30,19,0.0,2.129
2,1,32,5,1.0,1.0290000000000001
2,1,32,6,1.0,1.9040000000000001
2,1,32,9,1.0,1.699
2,1,32,10,0.0,1.314
2,1,32,11,1.0,2.1390000000000002
2,1,32,16,0.0,1.739
2,1,32,17,0.0,1.3659999999999999
2,1,32,19,0.0,1.3219999999999998
2,1,32,20,0.0,1.296
2,1,34,9,1.0,2.101
2,1,34,10,0.0,2.659
2,1,34,13,,
2,1,34,16,1.0,2.189
2,1,34,17,0.0,2.079
2,1,34,19,0.0,1.367
2,1,34,20,0.0,2.885
2,1,36,6,1.0,1.369
2,1,36,8,1.0,1.589
2,1,36,12,0.0,2.002
2,1,36,17,0.0,1.9169999999999998
2,1,36,19,0.0,1.4369999999999998
2,1,38,5,1.0,1.501
2,1,38,7,1.0,2.191
2,1,38,10,1.0,2.189
2,1,38,12,1.0,2.2680000000000002
2,1,38,14,0.0,2.106
2,1,40,5,1.0,1.7919999999999998
2,1,40,7,1.0,1.265
2,1,40,10,1.0,1.729
2,1,40,13,0.0,2.17
2,1,40,15,,
2,1,40,19,0.0,1.2890000000000001
2,2,10,9,0.0,1.95
2,2,10,14,0.0,1.209
2,2,10,16,0.0,0.903
2,2,10,17,0.0,1.012
2,2,10,18,0.0,2.272
2,2,12,5,1.0,1.9880000000000002
2,2,12,7,0.0,2.602
2,2,12,10,0.0,1.239
2,2,12,12,0.0,1.2790000000000001
2,2,12,13,0.0,1.304
2,2,12,18,0.0,1.203
2,2,12,20,0.0,1.114
2,2,14,8,0.0,2.315
2,2,14,9,0.0,1.551
2,2,14,13,0.0,0.878
2,2,14,15,0.0,1.207
2,2,16,6,1.0,2.001
2,2,16,7,0.0,1.831
2,2,16,8,0.0,2.231
2,2,16,9,0.0,1.7269999999999999
2,2,16,14,0.0,1.255
2,2,16,17,0.0,1.063
2,2,18,9,0.0,1.358
2,2,18,10,0.0,2.835
2,2,20,5,1.0,1.676
2,2,20,7,,
2,2,20,9,0.0,2.441
2,2,20,10,0.0,1.103
2,2,20,13,0.0,1.742
2,2,20,14,0.0,1.109
2,2,20,19,0.0,1.163
2,2,22,6,1.0,1.386
2,2,22,13,0.0,2.072
2,2,22,15,0.0,1.222
2,2,22,17,0.0,1.123
2,2,22,18,,
2,2,22,19,0.0,1.186
2,2,24,5,1.0,1.504
2,2,24,8,1.0,1.9380000000000002
2,2,24,11,0.0,2.208
2,2,24,15,0.0,2.106
2,2,24,16,0.0,1.45
2,2,24,17,0.0,1.3630000000000002
2,2,24,20,0.0,1.306
2,2,26,6,1.0,1.85
2,2,26,8,1.0,1.6280000000000001
2,2,26,12,0.0,2.193
2,2,26,19,0.0,0.001
2,2,26,20,0.0,1.1740000000000002
2,2,28,6,1.0,1.507
2,2,28,8,1.0,1.864
2,2,28,10,0.0,2.975
2,2,28,11,0.0,2.537
2,2,28,14,0.0,1.1159999999999999
2,2,28,15,0.0,1.919
2,2,28,16,0.0,1.5030000000000001
2,2,30,5,1.0,2.322
2,2,30,9,1.0,2.5869999999999997
2,2,30,12,0.0,2.043
2,2,30,15,0.0,1.206
2,2,30,17,0.0,2.072
2,2,30,18,0.0,1.518
2,2,32,7,1.0,1.865
2,2,32,15,0.0,2.803
2,2,32,18,0.0,1.085
2,2,34,6,1.0,1.4809999999999999
2,2,34,12,1.0,2.214
2,2,34,18,0.0,1.204
2,2,36,7,1.0,1.834
2,2,36,9,1.0,1.8430000000000002
2,2,36,13,1.0,2.38
2,2,36,14,,
2,2,36,15,0.0,2.801
2,2,36,16,0.0,1.0959999999999999
2,2,36,18,0.0,1.964
2,2,36,20,0.0,2.87
2,2,38,8,1.0,1.8030000000000002
2,2,38,9,0.0,0.001
2,2,38,18,0.0,1.237
2,2,38,20,0.0,2.214
2,2,40,6,1.0,1.517
2,2,40,8,1.0,1.504
2,2,40,9,1.0,1.743
2,2,40,11,1.0,1.5759999999999998
2,2,40,16,0.0,1.505
2,3,10,5,0.0,2.522
2,3,10,8,0.0,1.495
2,3,10,10,0.0,1.198
2,3,10,13,0.0,0.887
2,3,10,19,0.0,1.034
2,3,10,20,0.0,1.052
2,3,12,8,0.0,2.488
2,3,12,9,0.0,1.199
2,3,12,11,0.0,1.161
2,3,12,16,0.0,0.8009999999999999
2,3,12,19,0.0,0.91
2,3,14,5,1.0,2.181
2,3,14,7,0.0,1.371
2,3,14,10,0.0,1.528
2,3,14,11,0.0,1.2890000000000001
2,3,14,16,0.0,0.755
2,3,14,18,0.0,0.965
2,3,14,19,0.0,1.026
2,3,16,11,0.0,1.189
2,3,16,15,0.0,0.8440000000000001
2,3,16,16,0.0,0.899
2,3,16,19,0.0,0.895
2,3,18,6,1.0,1.79
2,3,18,11,0.0,1.704
2,3,18,13,0.0,1.689
2,3,18,15,0.0,1.4
2,3,18,16,0.0,0.9570000000000001
2,3,18,18,0.0,0.9109999999999999
2,3,18,19,0.0,1.023
2,3,20,8,1.0,1.453
2,3,20,11,0.0,1.2570000000000001
2,3,20,17,0.0,2.0709999999999997
2,3,20,20,0.0,1.054
2,3,22,5,1.0,1.466
2,3,22,8,1.0,1.567
2,3,22,10,0.0,1.685
2,3,22,11,0.0,1.255
2,3,22,12,0.0,2.347
2,3,22,14,0.0,2.8939999999999997
2,3,22,16,0.0,0.9540000000000001
2,3,24,6,1.0,1.541
2,3,24,10,0.0,1.719
2,3,24,19,,
2,3,26,7,1.0,1.028
2,3,26,10,0.0,2.293
2,3,26,11,0.0,2.396
2,3,26,14,0.0,1.199
2,3,26,15,0.0,0.9790000000000001
2,3,26,17,0.0,1.6840000000000002
2,3,28,5,1.0,1.349
2,3,28,9,1.0,1.24
2,3,28,17,0.0,1.274
2,3,28,18,0.0,0.888
2,3,28,20,0.0,1.244
2,3,30,7,1.0,1.537
2,3,30,8,1.0,1.113
2,3,30,10,1.0,2.215
2,3,30,11,0.0,1.96
2,3,30,14,0.0,1.331
2,3,30,20,0.0,1.246
2,3,32,8,1.0,1.432
2,3,32,12,1.0,2.9760000000000004
2,3,32,13,0.0,2.129
2,3,32,14,0.0,2.367
2,3,34,5,1.0,1.162
2,3,34,7,1.0,1.3
2,3,34,8,1.0,1.217
2,3,34,11,,
2,3,34,14,0.0,2.523
2,3,34,15,0.0,2.454
2,3,36,5,1.0,1.068
2,3,36,10,,
2,3,36,11,0.0,1.6869999999999998
2,3,38,6,1.0,1.4869999999999999
2,3,38,11,1.0,2.636
2,3,38,13,0.0,2.478
2,3,38,15,0.0,1.445
2,3,38,16,0.0,2.2230000000000003
2,3,38,17,0.0,1.9369999999999998
2,3,38,19,0.0,0.001
2,3,40,12,1.0,2.445
2,3,40,14,1.0,1.626
2,3,40,17,0.0,1.44
2,3,40,18,0.0,2.325
2,3,40,20,0.0,2.092
3,1,10,6,0.0,1.409
3,1,10,7,0.0,1.088
3,1,10,11,0.0,0.598
3,1,10,12,0.0,0.633
3,1,10,15,0.0,0.565
3,1,12,6,0.0,1.224
3,1,12,14,0.0,0.541
3,1,12,15,0.0,1.08
3,1,12,17,0.0,0.8290000000000001
3,1,14,6,0.0,1.06
3,1,14,12,0.0,0.888
3,1,14,14,0.0,1.015
3,1,14,17,0.0,0.919
3,1,14,20,0.0,0.6940000000000001
3,1,16,5,1.0,1.067
3,1,16,10,0.0,1.9340000000000002
3,1,16,12,0.0,0.742
3,1,16,13,0.0,0.779
3,1,16,18,0.0,0.961
3,1,16,20,0.0,0.887
3,1,18,5,1.0,1.246
3,1,18,7,0.0,1.287
3,1,18,8,1.0,1.235
3,1,18,12,0.0,0.706
3,1,18,14,0.0,0.695
3,1,18,17,0.0,1.016
3,1,18,20,0.0,0.833
3,1,20,6,1.0,1.128
3,1,20,12,0.0,0.968
3,1,20,15,0.0,1.104
3,1,20,16,0.0,1.135
3,1,20,18,0.0,1.135
3,1,22,7,1.0,0.884
3,1,22,9,0.0,1.99
3,1,22,20,0.0,1.3419999999999999
3,1,24,7,1.0,1.02
3,1,24,9,0.0,1.439
3,1,24,12,0.0,0.8109999999999999
3,1,24,13,0.0,0.772
3,1,24,14,0.0,0.7
3,1,24,18,0.0,1.345
3,1,26,5,1.0,1.046
3,1,26,9,0.0,1.672
3,1,26,13,0.0,0.6679999999999999
3,1,26,16,0.0,1.192
3,1,26,18,0.0,1.0290000000000001
3,1,28,7,1.0,1.171
3,1,28,12,0.0,1.358
3,1,28,13,0.0,0.826
3,1,28,19,0.0,0.767
3,1,30,6,1.0,1.148
3,1,30,13,0.0,0.7979999999999999
3,1,30,16,0.0,1.155
3,1,30,19,0.0,1.318
3,1,32,5,1.0,1.2209999999999999
3,1,32,6,1.0,1.446
3,1,32,9,1.0,0.977
3,1,32,10,0.0,0.792
3,1,32,11,0.0,0.723
3,1,32,16,0.0,1.179
3,1,32,17,0.0,1.206
3,1,32,19,0.0,0.698
3,1,32,20,0.0,1.102
3,1,34,9,1.0,1.173
3,1,34,10,0.0,1.274
3,1,34,13,0.0,0.723
3,1,34,16,0.0,0.902
3,1,34,17,0.0,1.234
3,1,34,19,0.0,0.5329999999999999
3,1,34,20,0.0,1.745
3,1,36,6,1.0,1.015
3,1,36,8,1.0,1.455
3,1,36,12,0.0,0.912
3,1,36,17,0.0,2.154
3,1,36,19,0.0,0.693
3,1,38,5,1.0,1.126
3,1,38,7,1.0,1.206
3,1,38,10,0.0,0.767
3,1,38,12,0.0,2.708
3,1,38,14,0.0,0.809
3,1,40,5,1.0,1.2
3,1,40,7,1.0,1.161
3,1,40,10,1.0,0.888
3,1,40,13,0.0,1.29
3,1,40,15,0.0,1.569
3,1,40,19,0.0,1.537
3,2,10,9,0.0,1.2790000000000001
3,2,10,14,0.0,1.091
3,2,10,16,0.0,1.351
3,2,10,17,0.0,1.036
3,2,10,18,0.0,1.065
3,2,12,5,1.0,1.167
3,2,12,7,0.0,1.2429999999999999
3,2,12,10,0.0,1.537
3,2,12,12,0.0,0.8240000000000001
3,2,12,13,0.0,1.073
3,2,12,18,0.0,1.081
3,2,12,20,0.0,1.123
3,2,14,8,1.0,1.996
3,2,14,9,0.0,1.712
3,2,14,13,0.0,1.5959999999999999
3,2,14,15,0.0,1.56
3,2,16,6,0.0,0.001
3,2,16,7,1.0,1.3459999999999999
3,2,16,8,1.0,1.87
3,2,16,9,0.0,1.224
3,2,16,14,0.0,0.7290000000000001
3,2,16,17,0.0,0.878
3,2,18,9,0.0,1.016
3,2,18,10,0.0,1.444
3,2,20,5,,
3,2,20,7,1.0,1.057
3,2,20,9,1.0,1.057
3,2,20,10,0.0,1.057
3,2,20,13,0.0,1.136
3,2,20,14,0.0,1.391
3,2,20,19,0.0,1.157
3,2,22,6,1.0,1.4909999999999999
3,2,22,13,0.0,0.8490000000000001
3,2,22,15,0.0,0.943
3,2,22,17,0.0,2.398
3,2,22,18,0.0,1.162
3,2,22,19,0.0,1.564
3,2,24,5,1.0,1.179
3,2,24,8,1.0,1.464
3,2,24,11,0.0,1.0979999999999999
3,2,24,15,0.0,1.075
3,2,24,16,0.0,0.74
3,2,24,17,0.0,0.904
3,2,24,20,0.0,0.8909999999999999
3,2,26,6,1.0,1.27
3,2,26,8,1.0,1.382
3,2,26,12,0.0,0.946
3,2,26,19,0.0,1.058
3,2,26,20,0.0,1.288
3,2,28,6,1.0,1.062
3,2,28,8,1.0,1.281
3,2,28,10,0.0,1.1840000000000002
3,2,28,11,0.0,1.024
3,2,28,14,0.0,1.253
3,2,28,15,0.0,1.217
3,2,28,16,0.0,1.399
3,2,30,5,1.0,1.2930000000000001
3,2,30,9,1.0,0.909
3,2,30,12,0.0,1.781
3,2,30,15,0.0,1.311
3,2,30,17,0.0,1.29
3,2,30,18,0.0,0.9520000000000001
3,2,32,7,1.0,1.4409999999999998
3,2,32,15,0.0,0.89
3,2,32,18,0.0,1.4069999999999998
3,2,34,6,1.0,1.114
3,2,34,12,0.0,1.105
3,2,34,18,0.0,1.014
3,2,36,7,1.0,1.05
3,2,36,9,0.0,1.101
3,2,36,13,0.0,1.5490000000000002
3,2,36,14,1.0,1.403
3,2,36,15,0.0,0.8340000000000001
3,2,36,16,0.0,1.063
3,2,36,18,0.0,1.195
3,2,36,20,0.0,0.887
3,2,38,8,1.0,1.584
3,2,38,9,1.0,1.329
3,2,38,18,0.0,1.137
3,2,38,20,0.0,1.218
3,2,40,6,1.0,1.351
3,2,40,8,1.0,0.991
3,2,40,9,0.0,1.082
3,2,40,11,1.0,1.6980000000000002
3,2,40,16,0.0,1.643
3,3,10,5,1.0,2.15
3,3,10,8,0.0,1.808
3,3,10,10,0.0,1.399
3,3,10,13,0.0,0.778
3,3,10,19,0.0,0.997
3,3,10,20,0.0,0.99
3,3,12,8,0.0,1.689
3,3,12,9,0.0,1.489
3,3,12,11,0.0,1.195
3,3,12,16,0.0,0.684
3,3,12,19,0.0,1.2329999999999999
3,3,14,5,1.0,1.506
3,3,14,7,0.0,1.071
3,3,14,10,0.0,1.01
3,3,14,11,0.0,1.194
3,3,14,16,0.0,1.125
3,3,14,18,0.0,1.159
3,3,14,19,0.0,0.865
3,3,16,11,0.0,0.78
3,3,16,15,0.0,1.506
